Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2020,1,1,00:00,UTC,0,-1,1.5,,3.4,-2.6
2020,1,1,06:00,UTC,,,,-5.7,,
2020,1,2,00:00,UTC,-1,-1,3.6,,5.1,1.8
2020,1,2,06:00,UTC,,,,0.1,,
2020,1,3,00:00,UTC,1.2,-1,4.6,,5.7,4.3
2020,1,3,06:00,UTC,,,,3.7,,
2020,1,4,00:00,UTC,-1,-1,1.7,,4.7,0.7
2020,1,4,06:00,UTC,,,,-2.6,,
2020,1,5,00:00,UTC,4.3,-1,-1.6,,1.9,-4.9
2020,1,5,06:00,UTC,,,,-2.7,,
2020,1,6,00:00,UTC,1.2,5,1.5,,2.5,-3.2
2020,1,6,06:00,UTC,,,,-5,,
2020,1,7,00:00,UTC,1.9,-1,4.5,,5.5,2.4
2020,1,7,06:00,UTC,,,,1.9,,
2020,1,8,00:00,UTC,1.5,-1,5.3,,7.3,4.2
2020,1,8,06:00,UTC,,,,3.6,,
2020,1,9,00:00,UTC,-1,-1,2.1,,7.1,0.1
2020,1,9,06:00,UTC,,,,0.1,,
2020,1,10,00:00,UTC,-1,-1,-2,,0.8,-3.6
2020,1,10,06:00,UTC,,,,-7.2,,
2020,1,11,00:00,UTC,8.8,-1,0,,3.5,-4.9
2020,1,11,06:00,UTC,,,,-9.6,,
2020,1,12,00:00,UTC,0.2,-1,5.2,,6.1,2.7
2020,1,12,06:00,UTC,,,,2.2,,
2020,1,13,00:00,UTC,-1,-1,1.6,,5.4,-0.2
2020,1,13,06:00,UTC,,,,-2.9,,
2020,1,14,00:00,UTC,5.8,-1,3.3,,4.1,1.6
2020,1,14,06:00,UTC,,,,-0.3,,
2020,1,15,00:00,UTC,8.3,-1,5.8,,7.3,2.8
2020,1,15,06:00,UTC,,,,2.4,,
2020,1,16,00:00,UTC,0,-1,5,,6.4,3.9
2020,1,16,06:00,UTC,,,,2.5,,
2020,1,17,00:00,UTC,-1,-1,4,,5.5,2.3
2020,1,17,06:00,UTC,,,,0.2,,
2020,1,18,00:00,UTC,2.9,-1,3.5,,4.9,1.8
2020,1,18,06:00,UTC,,,,-1.4,,
2020,1,19,00:00,UTC,-1,-1,3.6,,5.1,2
2020,1,19,06:00,UTC,,,,2.8,,
2020,1,20,00:00,UTC,-1,-1,3.3,,4.1,1
2020,1,20,06:00,UTC,,,,0.7,,
2020,1,21,00:00,UTC,0.5,-1,5.2,,8.1,2.9
2020,1,21,06:00,UTC,,,,2.3,,
2020,1,22,00:00,UTC,-1,0,1.2,,4.1,-1.2
2020,1,22,06:00,UTC,,,,-2.2,,
2020,1,23,00:00,UTC,0,0,0,,3.4,-3.6
2020,1,23,06:00,UTC,,,,-6.4,,
2020,1,24,00:00,UTC,0.1,-1,1.7,,3.8,0.3
2020,1,24,06:00,UTC,,,,0.1,,
2020,1,25,00:00,UTC,1,-1,0.3,,2.4,-1
2020,1,25,06:00,UTC,,,,-2.7,,
2020,1,26,00:00,UTC,0.7,-1,2.9,,5.4,-1.7
2020,1,26,06:00,UTC,,,,-3.9,,
2020,1,27,00:00,UTC,7.9,-1,0.6,,3.7,-1
2020,1,27,06:00,UTC,,,,-1,,
2020,1,28,00:00,UTC,4.4,-1,3,,3.7,1.2
2020,1,28,06:00,UTC,,,,1,,
2020,1,29,00:00,UTC,8.7,-1,1.8,,3,0.7
2020,1,29,06:00,UTC,,,,0.6,,
2020,1,30,00:00,UTC,7,-1,1.7,,2.5,0.9
2020,1,30,06:00,UTC,,,,0.1,,
2020,1,31,00:00,UTC,0.1,-1,1.9,,2.4,0.8
2020,1,31,06:00,UTC,,,,0.2,,
2020,2,1,00:00,UTC,8,-1,2.5,,2.8,1.6
2020,2,1,06:00,UTC,,,,1.4,,
2020,2,2,00:00,UTC,0.8,-1,3.8,,5.5,1.6
2020,2,2,06:00,UTC,,,,2.4,,
2020,2,3,00:00,UTC,-1,-1,-0.5,,2.1,-1.8
2020,2,3,06:00,UTC,,,,-1.7,,
2020,2,4,00:00,UTC,-1,-1,-4.6,,-1.5,-6.1
2020,2,4,06:00,UTC,,,,-7.4,,
2020,2,5,00:00,UTC,0,-1,-1.3,,1.9,-7.6
2020,2,5,06:00,UTC,,,,-9.8,,
2020,2,6,00:00,UTC,-1,-1,-3.3,,1.8,-5.8
2020,2,6,06:00,UTC,,,,-6.7,,
2020,2,7,00:00,UTC,1,-1,-3.5,,-0.1,-8.3
2020,2,7,06:00,UTC,,,,-10.3,,
2020,2,8,00:00,UTC,0.5,2,0.9,,2.2,-0.3
2020,2,8,06:00,UTC,,,,-0.2,,
2020,2,9,00:00,UTC,8,-1,3.3,,3.8,2
2020,2,9,06:00,UTC,,,,1.7,,
2020,2,10,00:00,UTC,3.9,-1,3.8,,4.8,3
2020,2,10,06:00,UTC,,,,2.4,,
2020,2,11,00:00,UTC,13.5,-1,3.1,,4.7,1.9
2020,2,11,06:00,UTC,,,,1.3,,
2020,2,12,00:00,UTC,3.6,0,2.6,,4.1,0.3
2020,2,12,06:00,UTC,,,,0,,
2020,2,13,00:00,UTC,-1,-1,1.8,,3.7,0.7
2020,2,13,06:00,UTC,,,,0.9,,
2020,2,14,00:00,UTC,0.1,-1,-1,,1.2,-2.5
2020,2,14,06:00,UTC,,,,-7.5,,
2020,2,15,00:00,UTC,5.5,-1,1.9,,2.9,-2.9
2020,2,15,06:00,UTC,,,,-7.7,,
2020,2,16,00:00,UTC,38.5,-1,3.7,,4.4,2.6
2020,2,16,06:00,UTC,,,,2.5,,
2020,2,17,00:00,UTC,1.9,-1,5.1,,5.5,3.8
2020,2,17,06:00,UTC,,,,3.5,,
2020,2,18,00:00,UTC,-1,-1,5.1,,6.2,4.5
2020,2,18,06:00,UTC,,,,3.9,,
2020,2,19,00:00,UTC,0.4,-1,3.8,,6.7,2.5
2020,2,19,06:00,UTC,,,,0.8,,
2020,2,20,00:00,UTC,0.4,-1,1.2,,3.2,-0.4
2020,2,20,06:00,UTC,,,,-2.3,,
2020,2,21,00:00,UTC,1,-1,3,,4,0
2020,2,21,06:00,UTC,,,,-3.5,,
2020,2,22,00:00,UTC,18.4,-1,3.9,,4.7,1.5
2020,2,22,06:00,UTC,,,,2.8,,
2020,2,23,00:00,UTC,-1,-1,3.4,,5.7,1.5
2020,2,23,06:00,UTC,,,,0,,
2020,2,24,00:00,UTC,-1,-1,1.6,,4.5,0
2020,2,24,06:00,UTC,,,,-1.4,,
2020,2,25,00:00,UTC,-1,-1,-1.7,,2,-4.3
2020,2,25,06:00,UTC,,,,-7.1,,
2020,2,26,00:00,UTC,-1,-1,-1.2,,1.5,-2.6
2020,2,26,06:00,UTC,,,,-4.2,,
2020,2,27,00:00,UTC,-1,-1,-3.4,,0,-6.5
2020,2,27,06:00,UTC,,,,-7.4,,
2020,2,28,00:00,UTC,-1,-1,-3.8,,1.4,-7.3
2020,2,28,06:00,UTC,,,,-7.6,,
2020,2,29,00:00,UTC,2.9,-1,-2.8,,2.5,-9.2
2020,2,29,06:00,UTC,,,,-13.3,,
